Experiment	Sample	Study	GSM	Scientific name	Taxon id	Strategy	Source	Platform	Selection	Experiment title	Sample title	Design description	Sample attribute_BioSampleModel	Sample attribute_dev_stage	Sample attribute_scientific_name	Sample attribute_cell type	Sample attribute_treatment	Sample attribute_sub_species	Sample attribute_ENA-FIRST-PUBLIC	Sample attribute_passages	Sample attribute_ENA first public	Sample attribute_ENA-LAST-UPDATE	Sample attribute_disease	Sample attribute_ecotype	Sample attribute_cell_line	Sample attribute_External Id	Sample attribute_Submitter Id	Sample attribute_strain	Sample attribute_transcription factor	Sample attribute_INSDC first public	Sample attribute_INSDC status	Sample attribute_cell line	Sample attribute_sex	Sample attribute_antibody	Sample attribute_broker name	Sample attribute_phenotype	Sample attribute_breed	Sample attribute_source_name	Sample attribute_isolate	Sample attribute_INSDC last update	Sample attribute_age	Sample attribute_Sex	Sample attribute_biomaterial_provider	Sample attribute_individual	Sample attribute_chip antibody	Sample attribute_sample name	Sample attribute_INSDC center alias	Sample attribute_chip antibody details	Sample attribute_collection_date	Sample attribute_common name	Sample attribute_genotype	Sample attribute_developmental stage	Sample attribute_tissue	Sample attribute_replicate	Sample attribute_organism part	Sample attribute_geo_loc_name	Sample attribute_tumor grading	Sample attribute_INSDC center name	Sample attribute_cultivar	Sample attribute_ENA last update	Experiment attribute_Experimental Factor: Stationary	Experiment attribute_Experimental Factor: organism part	Experiment attribute_Experimental Factor: CTVT5	Experiment attribute_Experimental Factor: Regressive	Experiment attribute_Experimental Factor: immunoprecipitate	Experiment attribute_Experimental Factor: Progressive	Experiment attribute_Experimental Factor: CTVT6	Experiment attribute_Experimental Factor: CTVT17	Experiment attribute_Experimental Factor: organism	File information_Alternatives_1_@org	File information_@cluster	File information_@filename	File information_Alternatives_1_@url	File information_Alternatives_@access_type	File information_Alternatives_0_@access_type	File information_Alternatives_1_@free_egress	File information_Alternatives_@free_egress	File information_Alternatives_@org	File information_@version	File information_Alternatives_0_@free_egress	File information_@supertype	File information_@sratoolkit	File information_@size	File information_@semantic_name	File information_@date	File information_Alternatives_0_@org	File information_Alternatives_2_@free_egress	File information_Alternatives_1_@access_type	File information_Alternatives_2_@url	File information_@md5	File information_Alternatives_2_@org	File information_Alternatives_0_@url	File information_Alternatives_2_@access_type	File information_Alternatives_@url	File information_@url	Query
SRX23379093	SRS20240975	SRP485653	GSM8033107	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2000	ChIP	GSM8033107: K9TCC_Mx, H3K27ac; Canis lupus familiaris; ChIP-Seq	K9TCC_Mx, H3K27ac					Canine urothelial		familiaris														K9TCC_Mx						K9TCC_Mx							H3K27ac (AbCam #ab4729)				missing							missing														AWS	public	SRR27712674.lite	s3://sra-pub-zq-7/SRR27712674/SRR27712674.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1493835878	SRA Lite	2024-01-24 13:18:56	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR27712674/SRR27712674.lite.1	17192fa78a0021bed0953bf3fe28eefc	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712674/SRR27712674.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27712674/SRR27712674	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712674/SRR27712674.lite.1	"((dog[Organism]) AND (""chip seq""[Strategy]))"
SRX23379092	SRS20240974	SRP485653	GSM8033106	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2000	ChIP	GSM8033106: K9TCC_Mx, H3K4me3; Canis lupus familiaris; ChIP-Seq	K9TCC_Mx, H3K4me3					Canine urothelial		familiaris														K9TCC_Mx						K9TCC_Mx							H3K4me3 (AbCam, #ab8580)				missing							missing														AWS	public	K9TCC_Mx_H3K4me3_1.fastq	s3://sra-pub-zq-7/SRR27712675/SRR27712675.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	7303149055	fastq	2024-01-24 13:17:39	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR27712675/SRR27712675.lite.1	53c8e8447f98755e0f610b298d4c8960	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712675/SRR27712675.lite.1	gcp identity	s3://sra-pub-src-14/SRR27712675/K9TCC_Mx_H3K4me3_1.fastq.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27712675/SRR27712675	
SRX23379091	SRS20240973	SRP485653	GSM8033105	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2000	ChIP	GSM8033105: K9TCC_Mx, H3K4me1; Canis lupus familiaris; ChIP-Seq	K9TCC_Mx, H3K4me1					Canine urothelial		familiaris														K9TCC_Mx						K9TCC_Mx							H3K4me1 (AbCam, #ab8895)				missing							missing														AWS	public	SRR27712676.lite	s3://sra-pub-zq-7/SRR27712676/SRR27712676.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1632868719	SRA Lite	2024-01-24 14:21:08	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR27712676/SRR27712676.lite.1	94e787266dec58e3dc9d40d5891be943	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712676/SRR27712676.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27712676/SRR27712676	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712676/SRR27712676.lite.1	
SRX23379090	SRS20240972	SRP485653	GSM8033104	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2000	ChIP	GSM8033104: K9TCC_Mx, Input; Canis lupus familiaris; ChIP-Seq	K9TCC_Mx, Input					Canine urothelial		familiaris														K9TCC_Mx						K9TCC_Mx							none				missing							missing														AWS	public	SRR27712677.lite	s3://sra-pub-zq-7/SRR27712677/SRR27712677.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1576274137	SRA Lite	2024-01-24 13:19:09	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR27712677/SRR27712677.lite.1	1d06704717270c65c4018a9fcc4fecae	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712677/SRR27712677.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27712677/SRR27712677	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712677/SRR27712677.lite.1	
SRX23379089	SRS20240971	SRP485653	GSM8033103	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2000	ChIP	GSM8033103: K9TCC_Ab, H3K27ac; Canis lupus familiaris; ChIP-Seq	K9TCC_Ab, H3K27ac					Canine urothelial		familiaris														K9TCC_Ab						K9TCC_Ab							H3K27ac (AbCam #ab4729)				missing							missing														AWS	public	K9TCC_Ab_H3K27ac_1.fastq	s3://sra-pub-zq-7/SRR27712678/SRR27712678.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	6223873248	fastq	2024-01-24 13:14:58	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR27712678/SRR27712678.lite.1	173008d9baaeb0a3cd13d3b73753c6fb	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712678/SRR27712678.lite.1	gcp identity	s3://sra-pub-src-14/SRR27712678/K9TCC_Ab_H3K27ac_1.fastq.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27712678/SRR27712678	
SRX23379088	SRS20240970	SRP485653	GSM8033102	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2000	ChIP	GSM8033102: K9TCC_Ab, H3K4me3; Canis lupus familiaris; ChIP-Seq	K9TCC_Ab, H3K4me3					Canine urothelial		familiaris														K9TCC_Ab						K9TCC_Ab							H3K4me3 (AbCam, #ab8580)				missing							missing														AWS	public	SRR27712679.lite	s3://sra-pub-zq-7/SRR27712679/SRR27712679.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1449263564	SRA Lite	2024-01-24 14:21:02	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR27712679/SRR27712679.lite.1	5c101d7ccf6a4d1fb429d7262f5844d1	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712679/SRR27712679.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27712679/SRR27712679	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712679/SRR27712679.lite.1	
SRX23379087	SRS20240969	SRP485653	GSM8033101	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2000	ChIP	GSM8033101: K9TCC_Ab, H3K4me1; Canis lupus familiaris; ChIP-Seq	K9TCC_Ab, H3K4me1					Canine urothelial		familiaris														K9TCC_Ab						K9TCC_Ab							H3K4me1 (AbCam, #ab8895)				missing							missing														AWS	public	SRR27712680.lite	s3://sra-pub-zq-7/SRR27712680/SRR27712680.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	1481932923	SRA Lite	2024-01-24 14:21:02	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR27712680/SRR27712680.lite.1	f74c03dd85224193c7f86d361f80f0c7	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712680/SRR27712680.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27712680/SRR27712680	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712680/SRR27712680.lite.1	
SRX23379086	SRS20240968	SRP485653	GSM8033100	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2000	ChIP	GSM8033100: K9TCC_Ab, Input; Canis lupus familiaris; ChIP-Seq	K9TCC_Ab, Input					Canine urothelial		familiaris														K9TCC_Ab						K9TCC_Ab							none				missing							missing														AWS	public	K9TCC_Ab_input_1.fastq	s3://sra-pub-zq-7/SRR27712681/SRR27712681.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	6650943792	fastq	2024-01-24 13:11:15	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR27712681/SRR27712681.lite.1	e047bb77508fab517d89547d6c36c098	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR027/27712/SRR27712681/SRR27712681.lite.1	gcp identity	s3://sra-pub-src-14/SRR27712681/K9TCC_Ab_input_1.fastq.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27712681/SRR27712681	
SRX20377952	SRS17690281	SRP438055	GSM7360752	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360752: 12568_ID_Cfa6.66_ins_BioRep3; Canis lupus familiaris; ChIP-Seq	12568_ID_Cfa6.66_ins_BioRep3					Brainstem		familiaris																				Brainstem							input				missing		ins					missing														AWS	public	SRR24594578.lite	s3://sra-pub-zq-7/SRR24594578/SRR24594578.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	3362499564	SRA Lite	2023-05-22 04:03:16	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594578/SRR24594578.lite.1	2b89a585907600ba524e39806fc02530	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594578/SRR24594578.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594578/SRR24594578	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594578/SRR24594578.lite.1	
SRX20377951	SRS17690277	SRP438055	GSM7360751	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360751: 12558_ID_Cfa6.66_noins_BioRep3; Canis lupus familiaris; ChIP-Seq	12558_ID_Cfa6.66_noins_BioRep3					Brainstem		familiaris																				Brainstem							input				missing		noins					missing														AWS	public	SRR24594579.lite	s3://sra-pub-zq-7/SRR24594579/SRR24594579.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2487524873	SRA Lite	2023-05-22 03:59:41	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594579/SRR24594579.lite.1	4d9963bbe000ba50418032df40355531	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594579/SRR24594579.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594579/SRR24594579	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594579/SRR24594579.lite.1	
